Algeria
Angola
Australia
Azerbaijan
Bahamas (Commonwealth of the)
Bhutan (Kingdom of)
Brazil
Central African Republic
Comoros
Croatia
Cuba(Republic of)
Cyprus
Czech Republic
Democratic Republic of Congo
Democratic People's Republic of Korea
Djibouti
Dominican Republic
Ecuador
Egypt (Arab Republic of)
El Salvador
Estonia
Ghana
Guatamela
Guinea
Haiti
Honduras
Hungary
Iceland
Indonesia
Islamic Republic of Iran
Republic of Iraq
Israel
Jamaica
Kenya
Kuwait
Kyrgyzstan
Lebanon
Madagascar
Malaysia
Malta
Mexico
Monaco
Mongolia
Morocco
Myanmar
Namibia
Nepal
Netherlands
Nigeria
Oman
Panama
Papua New-Guinea
Paraguay
People's Republic of China
Philippines
Poland
Republic of Korea
Russian Federation
Saudi Arabia
Serbia
Singapore
Slovakia
Somalia
South Africa
South Sudan
Sri Lanka
Sudan
Switzerland
Syrian Arab Republic
Tajikistan
Thailand
Trinidad and Tobago
Tunisia
Turkey
Uganda
Ukraine
United Kingdom of Great Britain
United Republic of Tanzania
United States of America
Uruguay
Uzbekistan
Vietnam
Yemen
Zambia
Zimbabwe

OBSERVER STATES
Palestine ( PLO )
Libya
