"Boyko Borisov, Minister-President, Bulgaria"
"Andrej Plenkovi?, President, Croatia"
"Andrej Babiš, Chairman of the Govt., Czech Republic"
"Lars Løkke Rasmussen, Minister of State, Denmark"
"Juri Ratas, Head Minister, Estonia"
"Juha Sipila, Minister of State, Finland"
"Viktor Orbán, Minister-President, Hungary"
"Leo Varadkar, Prime Minister, Ireland"
"Xavier Bettel , Prime Minister, Luxembourg"
"Joseph Muscat, Prime Minister, Malta"
"Mark Rutte, Minister-President, Netherlands"
"Mateusz Morawiecki, President, Poland"
"António Costa, Prime Minister, Portugal"
"Marjan Šarec, President, Slovenia"
"Stefan Löfven, Minister of State, Sweden"
"Theresa May, Prime Minister, United Kingdom"
"Organisation, Observer, European Central Bank"
