AIPPM,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Serial No.,Character ,Party/Affiliation ,,,,,,,,,,,,,,,,,,,,,,
59,A. Navaneethakrishnan,All India Dravida Munnetra Kazhagam,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
60,Mulayam Singh Yadav,Samajhwadi Party,,,,,,,,,,,,,,,,,,,,,,
61,Akhilesh Yadav,Samajhwadi Party,,,,,,,,,,,,,,,,,,,,,,
62,Ram Gopal Yadav,Samajhwadi Party,,,,,,,,,,,,,,,,,,,,,,
63,Kiranmoy Nanda,Samajhwadi Party,,,,,,,,,,,,,,,,,,,,,,
64,Azam Khan,Samajhwadi Party,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
65,Lalu Prasad Yadav,Rashtriya Janata Dal,,,,,,,,,,,,,,,,,,,,,,
66,Raghuvansh Prasad Singh,Rashtriya Janata Dal,,,,,,,,,,,,,,,,,,,,,,
67,Prem Chand Gupta,Rashtriya Janata Dal,,,,,,,,,,,,,,,,,,,,,,
68,Tejashwi Yadav,Rashtriya Janata Dal,,,,,,,,,,,,,,,,,,,,,,
69,Rabri Devi,Rashtriya Janata Dal,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
70,Mamta Banerjee,All India Trinamool Congress,,,,,,,,,,,,,,,,,,,,,,
71,Sudeep Banerjee,All India Trinamool Congress,,,,,,,,,,,,,,,,,,,,,,
72,Derek O'Brian,All India Trinamool Congress,,,,,,,,,,,,,,,,,,,,,,
73,Partha Chatterjee,All India Trinamool Congress,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
74,Dr Kumar Vishwas,Aam Aadmi Party,,,,,,,,,,,,,,,,,,,,,,
75,Manish Sisodia,Aam Aadmi Party,,,,,,,,,,,,,,,,,,,,,,
76,Deepak Bajpai,Aam Aadmi Party,,,,,,,,,,,,,,,,,,,,,,
77,Arvind Kejriwal,Aam Aadmi Party,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
78,Sitaram Yechury,Communist Party of India(M),,,,,,,,,,,,,,,,,,,,,,
79,Pinarayi Vijayan,Communist Party of India(M),,,,,,,,,,,,,,,,,,,,,,
80,Prakash Karat,Communist Party of India(M),,,,,,,,,,,,,,,,,,,,,,
81,Brinda Karat,Communist Party of India(M),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
82,Nitish Kumar,Janata Dal,,,,,,,,,,,,,,,,,,,,,,
83,Sharad Yadav,Janata Dal,,,,,,,,,,,,,,,,,,,,,,
84,Anil Kumar Sahani,Janata Dal,,,,,,,,,,,,,,,,,,,,,,
85,Harivansh Narayan Singh,Janata Dal,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
86,Anandrao Vithoba Adsul,Shiv Sena,,,,,,,,,,,,,,,,,,,,,,
87,Uddhav Thackeray,Shiv Sena,,,,,,,,,,,,,,,,,,,,,,
88,Sanjay Raut,Shiv Sena,,,,,,,,,,,,,,,,,,,,,,
89,Aditya Thackrey,Shiv Sena,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
90,Suravaram Sudhakar Reddy,Communist Party of India,,,,,,,,,,,,,,,,,,,,,,
91,Kanam Rajendran,Communist Party of India,,,,,,,,,,,,,,,,,,,,,,
92,C N Jayadevan,Communist Party of India,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
93,Mayawati,Bahujan Samaj Party,,,,,,,,,,,,,,,,,,,,,,
94,Satish Mishra,Bahujan Samaj Party,,,,,,,,,,,,,,,,,,,,,,
95,Swami Prasad Maurya,Bahujan Samaj Party,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
96,Farooq Abdullah,J&K National Conference,,,,,,,,,,,,,,,,,,,,,,
97,Omar Abdullah,J&K National Conference,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
98,Mehbooba Mufti,J&K Peoples Democratic Party,,,,,,,,,,,,,,,,,,,,,,
99,Muzaffar Hussain Baig,J&K Peoples Democratic Party,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
100,Shibu Soren,Jharkhand Mukti Morcha,,,,,,,,,,,,,,,,,,,,,,
101,Hemant Soren,Jharkhand Mukti Morcha,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
102,Asaduddin Owaisi,All India Majlis-e-Ittehadul Muslimeen,,,,,,,,,,,,,,,,,,,,,,
103,Akbaruddin Owaisi,All India Majlis-e-Ittehadul Muslimeen,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
104,Sharad Pawar,Nationalist Congress Party,,,,,,,,,,,,,,,,,,,,,,
105,Supriya Sule,Nationalist Congress Party,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
106,Ramvilas Paswan,Lok Janshakti Party,,,,,,,,,,,,,,,,,,,,,,
107,Chirag Paswan,Lok Janshakti Party,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
108,K Chandrashekhar Rao,Telangana Rashtra Samithi,,,,,,,,,,,,,,,,,,,,,,
