country
(Islamic Republic of) Afghanistan
Albania
Algeria
Angola
Argentine Republic
Armenia
Australia
Austria
Bahrain( Kingdom of)
Azerbaijan
Bahamas (Commonwealth of the)
Bangladesh(People's Republic of)
Barbados
Belarus
Belgium
Bhutan (Kingdom of)
Bolivia (Plurinational State Of)
Brazil
Bulgaria
Combodia
Cameroon
Canada
Central African Republic
Chad
Chile (Republic of)
Colombia
Comoros
Republic of Congo
Costa Rica
Croatia
Cuba(Republic of)
Cyprus
Czech Republic
Democratic Republic of Congo
Democratic People's Republic of Korea
Denmark
Djibouti
Dominican Republic
Ecuador
Egypt (Arab Republic of)
El Salvador
Estonia
Ethiopia
Fiji
Finland
Former Yugoslavia Republic of Macedonia
France
Georgia
Germany
Ghana
Greece
Guatamela
Guinea
Haiti
Honduras
Hungary
Iceland
India
Indonesia
Islamic Republic of Iran
Republic of Iraq
Ireland
Israel
Italy
Jamaica
Japan
Jordan
Kazakhstan
Kenya
Kiribati
Kuwait
Kyrgyzstan
Latvia
Lebanon
Liberia
Lithuania
Luxembourg
Madagascar
Malaysia
Maldives
Malta
Mauritius
Mexico
Monaco
Mongolia
Morocco
Myanmar
Namibia
Nepal
Netherlands
New Zealand
Nicaragua
Nigeria
Norway
Oman
Pakistan
Panama
Papua New-Guinea
Paraguay
People's Republic of China
Philippines
Poland
Portugal
Qatar
Republic of Korea
Romania
Russian Federation
Saudi Arabia
Serbia
Sierra Leone
Singapore
Slovakia
Somalia
South Africa
South Sudan
Spain
Sri Lanka
Sudan
Sweden
Switzerland
Syrian Arab Republic
Tajikistan
Thailand
Trinidad and Tobago
Tunisia
Turkey
Uganda
Ukraine
United Arab Emirates
United Kingdom of Great Britain
United Republic of Tanzania
United States of America
Uruguay
Uzbekistan
Bolivarian Republic of Venezuela
Vietnam
Yemen
Zambia
Zimbabwe
Palestine ( Observer )
Libya (Observer)
