Albania
Algeria
Angola
Armenia
Australia
Austria
Bahrain( Kingdom of)
Bahamas (Commonwealth of the)
Bangladesh(People's Republic of)
Belarus
Bhutan (Kingdom of)
Brazil
Cameroon
Canada
Chile (Republic of)
Comoros
Republic of Congo
Croatia
Czech Republic
Democratic People's Republic of Korea
Djibouti
Ecuador
Estonia
Ethiopia
Former Yugoslavia Republic of Macedonia
Georgia
Ghana
Greece
Guatamela
Guinea
Honduras
Jamaica
Japan
Kuwait
Kyrgyzstan
Lebanon
Lithuania
Malta
Mexico
Mongolia
Morocco
Namibia
New Zealand
Nicaragua
Nigeria
Panama
Papua New-Guinea
People's Republic of China
Philippines
Poland
Republic of Korea
Serbia
South Sudan
Sri Lanka
Sudan
Syrian Arab Republic
Tajikistan
Thailand
Tunisia
Turkey
Uganda
United Republic of Tanzania
Uruguay
Vietnam
Yemen
Zambia
Zimbabwe
Palestine ( PLO )
Libya
